timestamp,temperature_c,power_w,power_limit_w,memory_used_mib,memory_total_mib,gpu_util_pct,memory_util_pct,sm_clock_mhz,memory_clock_mhz,pstate
2026/09/21 07:42:29.235, 79, 130.73, 170.00, 7399, 12288, 100, 27, 1800, 7301, P2
2026/09/21 07:42:34.583, 79, 131.65, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:42:39.931, 79, 135.59, 170.00, 7399, 12288, 100, 24, 1800, 7301, P2
2026/09/21 07:42:45.284, 80, 135.48, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:42:50.627, 80, 130.95, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:42:55.972, 80, 135.96, 170.00, 7399, 12288, 100, 24, 1800, 7301, P2
2026/09/21 07:43:01.316, 80, 133.15, 170.00, 7399, 12288, 100, 24, 1800, 7301, P2
2026/09/21 07:43:06.657, 79, 132.71, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:43:12.007, 79, 135.80, 170.00, 7399, 12288, 99, 24, 1800, 7301, P2
2026/09/21 07:43:17.379, 79, 133.89, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:43:22.723, 79, 132.55, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:43:28.069, 79, 133.99, 170.00, 7399, 12288, 100, 27, 1800, 7301, P2
2026/09/21 07:43:33.424, 80, 135.04, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:43:38.771, 80, 136.50, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:43:44.126, 80, 136.57, 170.00, 7399, 12288, 100, 27, 1800, 7301, P2
2026/09/21 07:43:49.482, 79, 130.45, 170.00, 7399, 12288, 100, 27, 1800, 7301, P2
2026/09/21 07:43:54.838, 79, 135.00, 170.00, 7399, 12288, 100, 27, 1800, 7301, P2
2026/09/21 07:44:00.189, 79, 135.29, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:44:05.547, 79, 133.42, 170.00, 7399, 12288, 99, 24, 1800, 7301, P2
2026/09/21 07:44:10.890, 76, 125.78, 170.00, 7399, 12288, 64, 13, 1800, 7301, P2
2026/09/21 07:44:16.242, 79, 130.90, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:44:21.587, 79, 134.34, 170.00, 7399, 12288, 100, 24, 1800, 7301, P2
2026/09/21 07:44:26.938, 80, 135.40, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:44:32.290, 79, 135.19, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:44:37.633, 79, 132.98, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
